investor_id,investor_name,city,age_group,fund_name,monthly_investment,sip_start_date,sip_end_date,missed_payments,status,churn
INV00001,Nitin Kumar,Visakhapatnam,36-45,Nippon India Small Cap Fund,12500,2019-04-01,2020-08-01,42,stopped,1
INV00002,Sunita Agarwal,Nagpur,55+,SBI Small Cap Fund,6000,2018-03-01,2024-07-01,60,stopped,1
INV00003,Rajesh Pandey,Delhi,36-45,Kotak Standard Multicap Fund,9500,2022-09-01,,16,active,0
INV00004,Sanjay Dubey,Chennai,25-35,Mirae Asset Emerging Bluechip Fund,3500,2022-10-01,,9,active,0
INV00005,Rajesh Menon,Kochi,25-35,Nippon India Small Cap Fund,10500,2019-06-01,,35,active,0
INV00006,Puja Khanna,Pune,46-55,HDFC Mid-Cap Opportunities Fund,3000,2022-03-01,2022-12-01,17,stopped,1
INV00007,Manish Reddy,Ahmedabad,25-35,HDFC Mid-Cap Opportunities Fund,4500,2020-07-01,2021-11-01,21,stopped,1
INV00008,Vikram Dubey,Nagpur,36-45,SBI Small Cap Fund,1000,2020-07-01,2024-08-01,29,stopped,1
INV00009,Vikram Tiwari,Chandigarh,25-35,Parag Parikh Flexi Cap Fund,4000,2017-07-01,2018-01-01,32,stopped,1
INV00010,Priya Rao,Nagpur,36-45,Axis Long Term Equity Fund,4000,2021-10-01,,14,active,0
INV00011,Vivek Pillai,Kolkata,46-55,Aditya Birla SL Frontline Equity,7500,2015-08-01,,58,active,0
INV00012,Meena Nair,Kochi,25-35,Franklin India Prima Fund,6500,2021-05-01,,17,active,0
INV00013,Shweta Shukla,Indore,46-55,Axis Long Term Equity Fund,2000,2022-04-01,,9,active,0
INV00014,Sanjay Mishra,Bangalore,36-45,SBI Small Cap Fund,3500,2021-08-01,,26,active,0
INV00015,Dinesh Nair,Kolkata,36-45,UTI Flexi Cap Fund,16000,2020-03-01,,14,active,0
INV00016,Deepa Patel,Surat,46-55,Axis Bluechip Fund,4000,2021-10-01,2023-02-01,12,stopped,1
INV00017,Deepa Bansal,Bangalore,46-55,Canara Robeco Emerging Equities,2500,2020-02-01,,45,active,0
INV00018,Meena Chaudhary,Jaipur,55+,Kotak Emerging Equity Fund,4500,2019-10-01,,25,active,0
INV00019,Lata Tiwari,Pune,36-45,Aditya Birla SL Frontline Equity,1500,2022-07-01,2023-05-01,9,stopped,1
INV00020,Puja Sharma,Nagpur,25-35,Mirae Asset Emerging Bluechip Fund,8500,2021-08-01,2022-04-01,16,stopped,1
INV00021,Meena Joshi,Visakhapatnam,25-35,ICICI Pru Bluechip Fund,3500,2020-07-01,,23,active,0
INV00022,Sunita Singh,Pune,46-55,Nippon India Growth Fund,1500,2022-04-01,,13,active,0
INV00023,Harish Khanna,Mumbai,25-35,Mirae Asset Emerging Bluechip Fund,16500,2016-12-01,2023-04-01,49,stopped,1
INV00024,Gaurav Shukla,Kochi,46-55,Mirae Asset Emerging Bluechip Fund,2500,2018-09-01,2023-06-01,29,stopped,1
INV00025,Amit Kumar,Vadodara,36-45,SBI Bluechip Fund,1000,2021-06-01,2022-02-01,20,stopped,1
INV00026,Yogesh Yadav,Kochi,36-45,UTI Flexi Cap Fund,10000,2017-09-01,2023-05-01,27,stopped,1
INV00027,Seema Agarwal,Nagpur,25-35,Kotak Emerging Equity Fund,5500,2020-01-01,2021-09-01,21,stopped,1
INV00028,Meena Agarwal,Hyderabad,25-35,Mirae Asset Large Cap Fund,10500,2021-04-01,2024-08-01,22,stopped,1
INV00029,Shweta Chauhan,Kolkata,36-45,Aditya Birla SL Frontline Equity,9000,2016-01-01,2018-10-01,56,stopped,1
INV00030,Anil Joshi,Ahmedabad,25-35,HDFC Flexi Cap Fund,5000,2018-09-01,,28,active,0
INV00031,Sneha Menon,Mumbai,25-35,Mirae Asset Large Cap Fund,13000,2015-02-01,2020-11-01,45,stopped,1
INV00032,Ashish Reddy,Chennai,25-35,ICICI Pru Value Discovery Fund,8500,2021-08-01,2022-07-01,19,stopped,1
INV00033,Kuldeep Pandey,Jaipur,36-45,SBI Small Cap Fund,7000,2022-05-01,2022-12-01,21,stopped,1
INV00034,Lakshmi Rao,Chandigarh,25-35,Mirae Asset Emerging Bluechip Fund,3500,2022-02-01,2024-07-01,14,stopped,1
INV00035,Harish Rao,Bhopal,25-35,HDFC Flexi Cap Fund,8500,2015-12-01,2018-04-01,35,stopped,1
INV00036,Shweta Saxena,Surat,25-35,Axis Long Term Equity Fund,500,2018-03-01,,43,active,0
INV00037,Lakshmi Agarwal,Pune,25-35,Nippon India Growth Fund,9500,2020-10-01,2021-10-01,22,stopped,1
INV00038,Sunita Tiwari,Kochi,25-35,Axis Bluechip Fund,1500,2018-11-01,,30,active,0
INV00039,Manoj Mehta,Surat,36-45,Nippon India Growth Fund,6000,2022-08-01,2024-11-01,15,stopped,1
INV00040,Amit Dubey,Pune,25-35,Aditya Birla SL Frontline Equity,1000,2021-10-01,2022-10-01,20,stopped,1
INV00041,Arjun Joshi,Kochi,25-35,ICICI Pru Bluechip Fund,2000,2020-10-01,2023-05-01,22,stopped,1
INV00042,Geeta Pandey,Pune,25-35,DSP Mid Cap Fund,4500,2016-10-01,2022-06-01,51,stopped,1
INV00043,Deepa Chaudhary,Hyderabad,25-35,DSP Mid Cap Fund,17000,2022-11-01,,8,active,0
INV00044,Rohini Dubey,Vadodara,25-35,Aditya Birla SL Frontline Equity,4000,2015-05-01,,57,active,0
INV00045,Gaurav Menon,Kolkata,25-35,SBI Small Cap Fund,13000,2019-06-01,2022-07-01,46,stopped,1
INV00046,Rohini Chaudhary,Visakhapatnam,36-45,ICICI Pru Value Discovery Fund,12000,2019-08-01,,28,active,0
INV00047,Ravi Iyer,Visakhapatnam,46-55,DSP Mid Cap Fund,1500,2021-01-01,,13,active,0
INV00048,Manish Iyer,Vadodara,55+,DSP Mid Cap Fund,6500,2015-02-01,2024-11-01,67,stopped,1
INV00049,Yogesh Mishra,Chennai,36-45,Kotak Emerging Equity Fund,4500,2016-07-01,2024-04-01,49,stopped,1
INV00050,Sanjay Sinha,Bhopal,36-45,Kotak Standard Multicap Fund,5000,2016-01-01,,33,active,0
INV00051,Rekha Pillai,Mumbai,55+,Canara Robeco Emerging Equities,6500,2016-01-01,,62,active,0
INV00052,Arjun Pandey,Mumbai,46-55,Nippon India Small Cap Fund,11000,2020-06-01,2021-03-01,28,stopped,1
INV00053,Rohini Malhotra,Kolkata,25-35,Axis Long Term Equity Fund,3000,2022-06-01,2024-03-01,13,stopped,1
INV00054,Priya Khanna,Chandigarh,25-35,UTI Flexi Cap Fund,5000,2022-06-01,,14,active,0
INV00055,Sunita Dubey,Visakhapatnam,25-35,Aditya Birla SL Frontline Equity,6500,2015-04-01,,52,active,0
INV00056,Harish Reddy,Bhopal,25-35,DSP Mid Cap Fund,9500,2016-02-01,2023-09-01,52,stopped,1
INV00057,Sunil Pandey,Jaipur,36-45,UTI Flexi Cap Fund,3000,2021-12-01,,15,active,0
INV00058,Mala Kumar,Indore,36-45,Kotak Standard Multicap Fund,3500,2017-05-01,2021-05-01,45,stopped,1
INV00059,Pooja Mishra,Delhi,25-35,Mirae Asset Large Cap Fund,7000,2016-08-01,2017-09-01,36,stopped,1
INV00060,Manoj Kumar,Kochi,46-55,DSP Mid Cap Fund,2500,2017-09-01,,52,active,0
INV00061,Arjun Bansal,Kochi,25-35,Nippon India Small Cap Fund,11500,2020-12-01,2021-08-01,27,stopped,1
INV00062,Karthik Singh,Indore,36-45,UTI Flexi Cap Fund,8000,2017-06-01,,24,active,0
INV00063,Anil Bansal,Indore,25-35,HDFC Flexi Cap Fund,3000,2022-04-01,2024-09-01,14,stopped,1
INV00064,Dinesh Dubey,Surat,25-35,ICICI Pru Bluechip Fund,3000,2016-09-01,2024-04-01,27,stopped,1
INV00065,Vivek Kumar,Pune,25-35,Nippon India Growth Fund,7500,2015-08-01,2017-08-01,58,stopped,1
INV00066,Vikram Pandey,Visakhapatnam,36-45,Kotak Emerging Equity Fund,1500,2016-09-01,,53,active,0
INV00067,Pranav Menon,Chennai,25-35,ICICI Pru Bluechip Fund,9500,2016-05-01,2020-08-01,44,stopped,1
INV00068,Anil Kumar,Indore,46-55,Kotak Standard Multicap Fund,13500,2018-03-01,2020-06-01,29,stopped,1
INV00069,Mala Malhotra,Chennai,25-35,HDFC Mid-Cap Opportunities Fund,12500,2020-07-01,2022-11-01,26,stopped,1
INV00070,Ravi Pillai,Nagpur,55+,SBI Small Cap Fund,5000,2021-02-01,2022-09-01,35,stopped,1
INV00071,Rohan Sharma,Jaipur,25-35,Axis Long Term Equity Fund,4500,2017-04-01,,40,active,0
INV00072,Sanjay Khanna,Jaipur,36-45,ICICI Pru Bluechip Fund,9500,2021-05-01,2024-05-01,20,stopped,1
INV00073,Sunil Tiwari,Kolkata,25-35,Axis Long Term Equity Fund,10500,2016-04-01,,41,active,0
INV00074,Yogesh Yadav,Kochi,25-35,SBI Small Cap Fund,25000,2020-12-01,,30,active,0
INV00075,Sneha Kapoor,Bangalore,36-45,SBI Bluechip Fund,2500,2015-04-01,,51,active,0
INV00076,Ananya Dubey,Indore,25-35,DSP Mid Cap Fund,2000,2019-12-01,2020-07-01,35,stopped,1
INV00077,Rohini Tiwari,Bangalore,36-45,Axis Long Term Equity Fund,5000,2016-11-01,,43,active,0
INV00078,Sanjay Mishra,Mumbai,25-35,Franklin India Prima Fund,3000,2020-12-01,,33,active,0
INV00079,Vikram Verma,Bhopal,36-45,Canara Robeco Emerging Equities,6000,2016-09-01,2018-05-01,67,stopped,1
INV00080,Gaurav Khanna,Lucknow,55+,Franklin India Prima Fund,15000,2019-06-01,2019-12-01,30,stopped,1
INV00081,Manish Bansal,Pune,36-45,Canara Robeco Emerging Equities,16500,2017-05-01,,60,active,0
INV00082,Ananya Agarwal,Surat,46-55,HDFC Mid-Cap Opportunities Fund,4500,2016-11-01,2024-09-01,49,stopped,1
INV00083,Vivek Mishra,Kochi,36-45,UTI Flexi Cap Fund,11500,2016-12-01,,42,active,0
INV00084,Anjali Agarwal,Kochi,36-45,SBI Bluechip Fund,6000,2015-03-01,,44,active,0
INV00085,Swati Verma,Bhopal,36-45,Canara Robeco Emerging Equities,19500,2015-04-01,2018-09-01,59,stopped,1
INV00086,Archana Reddy,Hyderabad,25-35,Canara Robeco Emerging Equities,10000,2018-08-01,2024-04-01,54,stopped,1
INV00087,Kuldeep Dubey,Nagpur,25-35,UTI Flexi Cap Fund,6000,2016-01-01,,38,active,0
INV00088,Pranav Patel,Kochi,25-35,Axis Bluechip Fund,2500,2016-03-01,,37,active,0
INV00089,Manoj Bansal,Surat,36-45,Axis Bluechip Fund,10500,2020-10-01,,18,active,0
INV00090,Rohini Gupta,Kochi,25-35,Parag Parikh Flexi Cap Fund,8000,2021-04-01,,8,active,0
INV00091,Rajesh Menon,Kochi,36-45,Mirae Asset Large Cap Fund,5500,2017-10-01,2018-05-01,26,stopped,1
INV00092,Sneha Shukla,Bangalore,46-55,ICICI Pru Bluechip Fund,15000,2021-12-01,2024-01-01,19,stopped,1
INV00093,Manish Singh,Kolkata,36-45,Axis Long Term Equity Fund,5000,2022-04-01,,23,active,0
INV00094,Sanjay Malhotra,Chandigarh,46-55,UTI Flexi Cap Fund,2000,2021-01-01,,25,active,0
INV00095,Deepa Gupta,Chennai,46-55,Mirae Asset Large Cap Fund,9000,2019-01-01,2022-05-01,30,stopped,1
INV00096,Puja Sinha,Hyderabad,46-55,HDFC Flexi Cap Fund,12000,2020-11-01,2023-12-01,20,stopped,1
INV00097,Rohan Sharma,Pune,36-45,Nippon India Small Cap Fund,3500,2015-02-01,2017-07-01,65,stopped,1
INV00098,Karthik Pandey,Nagpur,46-55,Aditya Birla SL Frontline Equity,12000,2021-11-01,2023-09-01,17,stopped,1
